ID,Age,Gender,Job,Area,CitySize,FamilySize,Income,Wealth,Debt,FinEdu,ESG,Digital,BankFriend,LifeStyle,Luxury,Saving,Investments
5,33,0,2,1,3,1,0.806658514391338,0.731403839862744,0.831449459800001,0.856286403667297,0.784939867121764,0.710025596067495,0.758793060083235,0.908878184422363,0.611610267793463,0.615915654947775,2
9,41,1,3,1,2,1,0.387016235152804,0.396110535809959,0.478331887127835,0.455602017536942,0.5717398974356,0.456114269033938,0.281756199010609,0.297445716474319,0.342948159649169,0.309756806453004,2
10,56,0,2,1,3,2,0.745981299291484,0.942403472366749,0.61139125813944,0.613725293509608,0.636862427566548,0.797150265402316,0.849669484184308,0.837387589065088,0.816057087546071,0.552441053631965,2
21,43,0,2,1,3,2,0.909592745462104,0.875026365562902,0.42652573034953,0.640652292864354,0.661700528783152,0.849258382800803,0.869197093776575,0.865333269314093,0.795083936872338,0.682643538127516,2
29,44,1,2,1,2,1,0.80289651981842,0.574438689351506,0.541636303275469,0.717710854333186,0.760959188984648,0.936414736617979,0.390415859814174,0.630204986660923,0.758947705149909,0.275784537619148,2
31,51,0,2,1,3,4,0.385202185058812,0.377591090807224,0.413899858576006,0.570442886571763,0.318924089127715,0.199864379603752,0.469037390476833,0.433692177506796,0.200770678446836,0.452727790601116,2
35,31,1,2,1,1,2,0.427076755787755,0.0593554150064552,0.300915680252551,0.383691731804827,0.570348519944954,0.477939566733284,0.438521580384721,0.61280886333588,0.171492900312149,0.607521074850571,2
43,48,0,2,2,3,4,0.799361646253697,0.927865373714138,0.467048616887499,0.635474001957636,0.630098242523821,0.681953860142488,0.788179253581126,0.574837187407343,0.862577632961529,0.800695640956023,2
48,55,0,2,3,1,2,0.286976173429897,0.362279718447473,0.386809053930818,0.262667569629069,0.558016608790238,0.318836650405098,0.287697985540205,0.423151742510574,0.348511337379277,0.335589855775114,2
52,51,0,2,1,3,1,0.879331350863465,0.647821818304511,0.687863360734106,0.731876422916241,0.646801486796547,0.764291159950926,0.772418477865752,0.815869875259588,0.866571391779105,0.499718112832819,2
62,48,0,2,3,1,4,0.0939809889327499,0.697764368696308,0.633475484588015,0.416571899536986,0.457107790286713,0.878431006597657,0.77293374175122,0.198232225326585,0.169810719374611,0.447436585062679,2
67,51,0,2,2,3,4,0.20890442615879,0.680413200437103,0.617713398637078,0.332292835684541,0.690946342744223,0.432602575909398,0.695701058351499,0.190638259387806,0.197325977623432,0.775081715990843,2
68,44,0,2,1,2,3,0.879586411267108,0.67033370768839,0.44745908641077,0.363917431984827,0.788942978274438,0.692128183598863,0.777503848613745,0.55503096836231,0.494336460785461,0.732298657132162,2
72,64,1,2,3,2,3,0.754037160123411,0.930701616838655,0.470588350039869,0.902648049953456,0.774846787780544,0.85482443916247,0.759082427102883,0.681166795924721,0.856373703046586,0.729245313939431,2
74,58,1,2,3,2,3,0.343802627419593,0.637961581637144,0.305523043281023,0.66170834906887,0.621559207500584,0.551845860178565,0.473735232754586,0.359505027424103,0.292560760368732,0.422225030967509,2
83,64,1,4,1,3,1,0.358722363054823,0.500000467963185,0.447550749888496,0.655984589264302,0.828559757399652,0.855662273566284,0.55061696151187,0.66502068371316,0.483252609721171,0.664618784722635,2
88,58,1,5,1,2,3,0.36125663443851,0.350398986969879,0.36677120215704,0.458370110096469,0.4647464352847,0.468214181373902,0.575351881457188,0.232708207547542,0.505812202815897,0.631164947250825,2
102,41,0,2,1,1,4,0.83432056632865,0.881409767514228,0.523065222817293,0.760301483331336,0.580867638051214,0.589046393356221,0.83482482433762,0.478601401949282,0.882306469969263,0.329597338109794,2
103,43,1,2,1,2,3,0.66760698972063,0.714957810218341,0.49245848693542,0.731768821460404,0.428652376638273,0.831571466483385,0.85739431480399,0.778190989486482,0.652768892589126,0.337358192376454,2
104,31,1,2,1,3,1,0.936792980143261,0.833544286928245,0.621835530953246,0.37285644223912,0.880842929287986,0.663891122958934,0.587114797783376,0.806409377960797,0.744777235535026,0.660649806353913,2
105,47,0,2,2,3,2,0.899417542093633,0.928853407861135,0.523353333017787,0.728472447459165,0.726164953719536,0.748655206583174,0.778140794124915,0.477913176090768,0.862115533384971,0.499403371606524,2
108,57,0,2,1,2,3,0.885197438170273,0.886646290063915,0.814097648022015,0.779338729143024,0.689341099437319,0.910338757305478,0.88768224182295,0.639339700619932,0.900054661488132,0.700450336101978,2
110,58,1,2,1,2,1,0.459638270274868,0.505176533955911,0.616269761527196,0.423343517235742,0.740172434894642,0.492252088394914,0.615024786182179,0.754990381887687,0.816267781877662,0.658540356574776,2
117,51,0,2,1,3,3,0.883531198739611,0.862473877541315,0.406804471860315,0.824108661340777,0.793788363790774,0.870312765000991,0.812347435304359,0.578499508042348,0.992922641564299,0.479043464028338,2
123,24,0,2,1,2,2,0.811984785950516,0.577305340078264,0.284512075856435,0.525907935695048,0.616202134121431,0.606160279090588,0.425939158396869,0.569133724264337,0.389988884002093,0.70747576170529,2
129,60,0,1,1,3,2,0.807441442841488,0.840883775074879,0.563068131485772,0.846165018525588,0.709866425900519,0.597342826733864,0.935090799369845,0.858852250984,0.827356129405475,0.429654789297758,2
144,27,0,2,2,2,1,0.731167079512155,0.873136761569598,0.866871145420154,0.854378598918773,0.635445016701293,0.897637699990649,0.940968744919198,0.862329406446565,0.95226814147041,0.64165181173957,2
153,63,0,2,1,3,1,0.762801725980405,0.673640858392407,0.137982621095878,0.568589306481476,0.39723139629879,0.504300889101705,0.531547973949704,0.617688659484865,0.57174472690467,0.346111304210775,2
155,53,1,1,3,2,4,0.676035592008985,0.519031016953491,0.550423374206642,0.426400904630369,0.413494396175488,0.44562288575173,0.758984549534175,0.466717265081607,0.310746633685637,0.426829834813303,2
164,61,0,2,1,1,3,0.703278339878157,0.866798225269075,0.490623914281877,0.71472602527085,0.527433587172932,0.759971849239715,0.81568327888152,0.901159117883977,0.575286844899883,0.548907783515248,2
179,48,1,2,1,1,2,0.777011428783636,0.719580957534389,0.558527891465627,0.749853185271198,0.600845167496738,0.667387739793071,0.852259427081679,0.522422030270972,0.916118603395689,0.758646525533228,2
181,51,0,5,1,1,1,0.168179089582837,0.489698644491939,0.0445389577141263,0.324072038181228,0.734228282383805,0.356880195089349,0.859643134903673,0.242740977971966,0.194372022753957,0.30636080005647,2
182,59,1,2,1,3,1,0.729153612597636,0.755288215251078,0.572788923199938,0.607587027812514,0.514568575481797,0.624799465223791,0.879247131457625,0.620449874249174,0.953264989298367,0.540385052418523,2
191,21,0,4,2,3,3,0.222187291156576,0.723478808845394,0.0618410199446691,0.12511156080675,0.459819415738821,0.861997871278142,0.705763163523396,0.846614479979416,0.545931266563156,0.119242163298445,2
193,64,1,4,1,2,1,0.690848909805294,0.886105397007604,0.110581746495511,0.300445161314779,0.818529186717778,0.154137239277073,0.377175235595962,0.112450888427855,0.384812265539895,0.352604209156337,2
194,54,1,2,2,2,2,0.83287858385946,0.774418560300051,0.429388101738679,0.639603493837137,0.649079947774586,0.919147164502018,0.860001127460656,0.649236397830437,0.845484858372214,0.748662563247855,2
204,59,1,2,2,3,1,0.561160106293272,0.911207672404521,0.663959221042874,0.510598644601647,0.654501762459325,0.607053710824521,0.228198534381594,0.306307260691685,0.681379526917682,0.410491228464151,2
212,41,0,4,1,3,1,0.865489716791758,0.729864785550211,0.0690334474948316,0.287764553912097,0.914289695635532,0.562163961923215,0.738827210179219,0.33768883895182,0.519240407697942,0.568971614181243,2
213,46,1,2,1,3,1,0.900478589624438,0.724754300731846,0.625112553083823,0.831554604770491,0.632333972036353,0.678167262415964,0.702957964338289,0.738043877155883,0.911481125991708,0.76856506661361,2
220,52,0,2,1,3,3,0.868303687291605,0.912787439259855,0.378733977630377,0.707389934625388,0.485343416465355,0.764121551052806,0.813541568123479,0.764977590755163,0.941118393345158,0.646958083444447,2
236,60,1,2,1,1,4,0.484456495385355,0.282492136641521,0.55257464201473,0.62377318514854,0.396498905721901,0.171233912535902,0.614158051176584,0.31658644981227,0.421400177156951,0.311909059453238,2
237,47,1,2,1,2,3,0.389147245211203,0.463551647136218,0.269686119980781,0.399281372720014,0.364789907841175,0.257228023323977,0.402380828895415,0.526149660381353,0.154773326656183,0.433836257910727,2
240,28,1,2,2,1,2,0.31819428119167,0.546264319658874,0.711315082651102,0.566635875551975,0.545250466685941,0.445114174071242,0.47875688847381,0.687024105133339,0.407316450099428,0.68217557122319,2
242,47,1,2,1,2,5,0.686329854461609,0.433394517797892,0.410168766448524,0.426349826756392,0.57919699020144,0.636569824760659,0.68267179728029,0.588271986291006,0.360582366717571,0.738127026471268,2
